2020-12-22 17:54:26.967 +00:00 [VRB] Started SANS Holiday Hack, December 2020
2020-12-22 17:54:26.985 +00:00 [VRB] Using CTF runner 0.1.0-alpha.18
2020-12-22 17:54:26.987 +00:00 [VRB] Running challange S3
2020-12-22 17:54:26.995 +00:00 [VRB] Reading embedded Dictionary.embedded.gz
2020-12-22 17:54:32.726 +00:00 [INF] Found open bucket blast
2020-12-22 17:54:35.794 +00:00 [INF] Found open bucket parenting
2020-12-22 17:54:39.058 +00:00 [INF] Found open bucket internationals
2020-12-22 17:54:39.418 +00:00 [INF] Found open bucket newswatch
2020-12-22 17:54:39.638 +00:00 [INF] Found open bucket animals
2020-12-22 17:54:40.114 +00:00 [INF] Found open bucket arts
2020-12-22 17:54:40.170 +00:00 [INF] Found open bucket titles
2020-12-22 17:54:40.172 +00:00 [INF] Found open bucket nrss
2020-12-22 17:54:40.608 +00:00 [INF] Found open bucket cha
2020-12-22 17:54:40.835 +00:00 [INF] Found open bucket simg
2020-12-22 17:54:41.155 +00:00 [INF] Found open bucket real
2020-12-22 17:54:41.421 +00:00 [INF] Found open bucket button
2020-12-22 17:54:42.060 +00:00 [INF] Found open bucket muze
2020-12-22 17:54:42.366 +00:00 [INF] Found open bucket lic
2020-12-22 17:54:42.367 +00:00 [INF] Found open bucket islandlife
2020-12-22 17:54:42.740 +00:00 [INF] Found open bucket lhn
2020-12-22 17:54:42.987 +00:00 [INF] Found open bucket ents
2020-12-22 17:54:44.367 +00:00 [INF] Found open bucket basics
2020-12-22 17:54:44.993 +00:00 [INF] Found open bucket bigread
2020-12-22 17:54:45.002 +00:00 [INF] Found open bucket comets
2020-12-22 17:54:45.038 +00:00 [INF] Found open bucket techniques
2020-12-22 17:54:45.559 +00:00 [INF] Found open bucket lifecycle
2020-12-22 17:54:45.648 +00:00 [INF] Found open bucket disgust
2020-12-22 17:54:46.177 +00:00 [INF] Found open bucket promos
2020-12-22 17:54:46.590 +00:00 [INF] Found open bucket interactives
2020-12-22 17:54:46.610 +00:00 [INF] Found open bucket emotions
2020-12-22 17:54:46.677 +00:00 [INF] Found open bucket playspace
2020-12-22 17:54:47.563 +00:00 [INF] Found open bucket portuguese
2020-12-22 17:54:47.946 +00:00 [INF] Found open bucket albanian
2020-12-22 17:54:47.948 +00:00 [INF] Found open bucket img
2020-12-22 17:54:48.645 +00:00 [INF] Found open bucket vikings
2020-12-22 17:54:48.691 +00:00 [INF] Found open bucket ww2
2020-12-22 17:54:49.662 +00:00 [INF] Found open bucket grid
2020-12-22 17:54:49.933 +00:00 [INF] Found open bucket dynamo
2020-12-22 17:54:51.834 +00:00 [INF] Found open bucket 2images
2020-12-22 17:54:51.927 +00:00 [INF] Found open bucket transcripts
2020-12-22 17:54:53.017 +00:00 [INF] Found open bucket noproblem
2020-12-22 17:54:54.020 +00:00 [INF] Found open bucket catering
2020-12-22 17:54:55.363 +00:00 [INF] Found open bucket honey
2020-12-22 17:54:56.043 +00:00 [INF] Found open bucket learn
2020-12-22 17:54:56.582 +00:00 [INF] Found open bucket asthma
2020-12-22 17:54:56.998 +00:00 [INF] Found open bucket watch
2020-12-22 17:54:58.266 +00:00 [INF] Found open bucket apod
2020-12-22 17:54:58.729 +00:00 [INF] Found open bucket currency
2020-12-22 17:54:59.567 +00:00 [INF] Found open bucket foi
2020-12-22 17:55:00.779 +00:00 [INF] Found open bucket horizon
2020-12-22 17:55:03.664 +00:00 [INF] Found open bucket obituaries
2020-12-22 17:55:04.065 +00:00 [INF] Found open bucket phil
2020-12-22 17:55:05.742 +00:00 [INF] Found open bucket purpose
2020-12-22 17:55:07.725 +00:00 [INF] Found open bucket vitae
2020-12-22 17:55:07.845 +00:00 [INF] Found open bucket light
2020-12-22 17:55:08.371 +00:00 [INF] Found open bucket marshall
2020-12-22 17:55:08.393 +00:00 [INF] Found open bucket wwi
2020-12-22 17:55:09.572 +00:00 [INF] Found open bucket wgbh
2020-12-22 17:55:10.043 +00:00 [INF] Found open bucket beyond
2020-12-22 17:55:10.165 +00:00 [INF] Found open bucket womens
2020-12-22 17:55:10.541 +00:00 [INF] Found open bucket eco
2020-12-22 17:55:12.191 +00:00 [INF] Found open bucket theverb
2020-12-22 17:55:12.713 +00:00 [INF] Found open bucket readingroom
2020-12-22 17:55:13.796 +00:00 [INF] Found open bucket front
2020-12-22 17:55:14.684 +00:00 [INF] Found open bucket newsfeed
2020-12-22 17:55:14.974 +00:00 [INF] Found open bucket extranet
2020-12-22 17:55:15.336 +00:00 [INF] Found open bucket marketing
2020-12-22 17:55:18.216 +00:00 [INF] Found open bucket includes
2020-12-22 17:55:18.617 +00:00 [INF] Found open bucket press
2020-12-22 17:55:19.071 +00:00 [INF] Found open bucket mem
2020-12-22 17:55:20.973 +00:00 [INF] Found open bucket stry
2020-12-22 17:55:22.550 +00:00 [INF] Found open bucket chaucer
2020-12-22 17:55:24.667 +00:00 [INF] Found open bucket dragonsden
2020-12-22 17:55:25.556 +00:00 [INF] Found open bucket acc
2020-12-22 17:55:25.888 +00:00 [INF] Found open bucket breakfast
2020-12-22 17:55:25.916 +00:00 [INF] Found open bucket popups
2020-12-22 17:55:26.167 +00:00 [INF] Found open bucket diarmuid
2020-12-22 17:55:26.413 +00:00 [INF] Found open bucket pine
2020-12-22 17:55:27.556 +00:00 [INF] Found open bucket schemes
2020-12-22 17:55:28.415 +00:00 [INF] Found open bucket lookahead
2020-12-22 17:55:28.765 +00:00 [INF] Found open bucket pinter
2020-12-22 17:55:29.159 +00:00 [INF] Found open bucket evans
2020-12-22 17:55:29.590 +00:00 [INF] Found open bucket highhopes
2020-12-22 17:55:30.976 +00:00 [INF] Found open bucket brighton
2020-12-22 17:55:31.070 +00:00 [INF] Found open bucket issue
2020-12-22 17:55:31.134 +00:00 [INF] Found open bucket dundee
2020-12-22 17:55:32.323 +00:00 [INF] Found open bucket gfi
2020-12-22 17:55:32.792 +00:00 [INF] Found open bucket bristol
2020-12-22 17:55:32.808 +00:00 [INF] Found open bucket rockshow
2020-12-22 17:55:33.516 +00:00 [INF] Found open bucket liberty
2020-12-22 17:55:33.534 +00:00 [INF] Found open bucket hotseat
2020-12-22 17:55:35.256 +00:00 [INF] Found open bucket civilwar
2020-12-22 17:55:38.198 +00:00 [INF] Found open bucket musical
2020-12-22 17:55:38.815 +00:00 [INF] Found open bucket wildlife
2020-12-22 17:55:38.935 +00:00 [INF] Found open bucket emailcontent
2020-12-22 17:55:39.563 +00:00 [INF] Found open bucket wolves
2020-12-22 17:55:39.971 +00:00 [INF] Found open bucket img_70
2020-12-22 17:55:41.018 +00:00 [INF] Found open bucket rivercity
2020-12-22 17:55:41.355 +00:00 [INF] Found open bucket educationandtraining
2020-12-22 17:55:41.902 +00:00 [INF] Found open bucket xls
2020-12-22 17:55:42.287 +00:00 [INF] Found open bucket tng
2020-12-22 17:55:44.276 +00:00 [INF] Found open bucket pyramid
2020-12-22 17:55:44.468 +00:00 [INF] Found open bucket walsall
2020-12-22 17:55:45.239 +00:00 [INF] Found open bucket worldclass
2020-12-22 17:55:47.215 +00:00 [INF] Found open bucket htdocs
2020-12-22 17:55:47.723 +00:00 [INF] Found open bucket slideshow
2020-12-22 17:55:47.773 +00:00 [INF] Found open bucket roads
2020-12-22 17:55:47.941 +00:00 [INF] Found open bucket dl1
2020-12-22 17:55:48.281 +00:00 [INF] Found open bucket lomo
2020-12-22 17:55:49.137 +00:00 [INF] Found open bucket weekender
2020-12-22 17:55:50.393 +00:00 [INF] Found open bucket zanelowe
2020-12-22 17:55:52.042 +00:00 [INF] Found open bucket featured
2020-12-22 17:55:53.807 +00:00 [INF] Found open bucket fckeditor
2020-12-22 17:55:54.080 +00:00 [INF] Found open bucket ncaa
2020-12-22 17:55:56.162 +00:00 [INF] Found open bucket briefs
2020-12-22 17:55:56.190 +00:00 [INF] Found open bucket watches
2020-12-22 17:55:56.781 +00:00 [INF] Found open bucket howtos
2020-12-22 17:55:56.912 +00:00 [INF] Found open bucket internet
2020-12-22 17:55:57.402 +00:00 [INF] Found open bucket communications
2020-12-22 17:55:59.405 +00:00 [INF] Found open bucket c116
2020-12-22 17:56:00.201 +00:00 [INF] Found open bucket pdfcatalog
2020-12-22 17:56:01.153 +00:00 [INF] Found open bucket 122
2020-12-22 17:56:01.157 +00:00 [INF] Found open bucket edu
2020-12-22 17:56:01.434 +00:00 [INF] Found open bucket espanol
2020-12-22 17:56:03.118 +00:00 [INF] Found open bucket lre
2020-12-22 17:56:03.551 +00:00 [INF] Found open bucket 6147
2020-12-22 17:56:03.759 +00:00 [INF] Found open bucket 612a
2020-12-22 17:56:05.914 +00:00 [INF] Found open bucket animal
2020-12-22 17:56:06.757 +00:00 [INF] Found open bucket listinfo
2020-12-22 17:56:07.198 +00:00 [INF] Found open bucket 136
2020-12-22 17:56:07.765 +00:00 [INF] Found open bucket promotions
2020-12-22 17:56:08.808 +00:00 [INF] Found open bucket rma
2020-12-22 17:56:09.493 +00:00 [INF] Found open bucket monkeys
2020-12-22 17:56:09.772 +00:00 [INF] Found open bucket cobrand
2020-12-22 17:56:12.525 +00:00 [INF] Found open bucket favorites
2020-12-22 17:56:13.624 +00:00 [INF] Found open bucket xslt
2020-12-22 17:56:15.953 +00:00 [INF] Found open bucket 1440
2020-12-22 17:56:16.245 +00:00 [INF] Found open bucket brand
2020-12-22 17:56:16.350 +00:00 [INF] Found open bucket 1235
2020-12-22 17:56:18.809 +00:00 [INF] Found open bucket psg
2020-12-22 17:56:19.049 +00:00 [INF] Found open bucket livewire
2020-12-22 17:56:19.836 +00:00 [INF] Found open bucket asin
2020-12-22 17:56:20.389 +00:00 [INF] Found open bucket tos
2020-12-22 17:56:22.009 +00:00 [INF] Found open bucket league
2020-12-22 17:56:22.442 +00:00 [INF] Found open bucket hotel
2020-12-22 17:56:22.911 +00:00 [INF] Found open bucket 130
