2020-12-22 18:32:06.579 +00:00 [VRB] Started SANS Holiday Hack, December 2020
2020-12-22 18:32:06.599 +00:00 [VRB] Using CTF runner 0.1.0-alpha.18
2020-12-22 18:32:06.601 +00:00 [VRB] Running challange S3
2020-12-22 18:32:06.610 +00:00 [VRB] Reading embedded Dictionary.embedded.gz
2020-12-22 18:32:10.928 +00:00 [INF] Bucket found: blast
2020-12-22 18:32:12.838 +00:00 [INF] Bucket found: parenting
2020-12-22 18:32:13.577 +00:00 [INF] Bucket found: internationals
2020-12-22 18:32:15.326 +00:00 [INF] Bucket found: newswatch
2020-12-22 18:32:16.290 +00:00 [INF] Bucket found: titles
2020-12-22 18:32:16.405 +00:00 [INF] Bucket found: nrss
2020-12-22 18:32:17.357 +00:00 [INF] Bucket found: simg
2020-12-22 18:32:17.446 +00:00 [INF] Bucket found: arts
2020-12-22 18:32:17.578 +00:00 [INF] Bucket found: animals
2020-12-22 18:32:18.165 +00:00 [INF] Bucket found: cha
2020-12-22 18:32:20.029 +00:00 [INF] Bucket found: real
2020-12-22 18:32:20.184 +00:00 [INF] Bucket found: button
2020-12-22 18:32:21.276 +00:00 [INF] Bucket found: islandlife
2020-12-22 18:32:21.534 +00:00 [INF] Bucket found: lic
2020-12-22 18:32:22.051 +00:00 [INF] Bucket found: ents
2020-12-22 18:32:24.189 +00:00 [INF] Bucket found: muze
2020-12-22 18:32:24.265 +00:00 [INF] Bucket found: basics
2020-12-22 18:32:24.861 +00:00 [INF] Bucket found: lhn
2020-12-22 18:32:27.925 +00:00 [INF] Bucket found: bigread
2020-12-22 18:32:28.343 +00:00 [INF] Bucket found: techniques
2020-12-22 18:32:29.813 +00:00 [INF] Bucket found: comets
2020-12-22 18:32:30.858 +00:00 [INF] Bucket found: disgust
2020-12-22 18:32:31.124 +00:00 [INF] Bucket found: lifecycle
2020-12-22 18:32:31.398 +00:00 [INF] Bucket found: playspace
2020-12-22 18:32:31.761 +00:00 [INF] Bucket found: interactives
2020-12-22 18:32:31.977 +00:00 [INF] Bucket found: promos
2020-12-22 18:32:32.660 +00:00 [INF] Bucket found: emotions
2020-12-22 18:32:33.657 +00:00 [INF] Bucket found: portuguese
2020-12-22 18:32:36.418 +00:00 [INF] Bucket found: albanian
2020-12-22 18:32:38.404 +00:00 [INF] Bucket found: grid
2020-12-22 18:32:39.514 +00:00 [INF] Bucket found: img
2020-12-22 18:32:39.635 +00:00 [INF] Bucket found: dynamo
2020-12-22 18:32:41.044 +00:00 [INF] Bucket found: 2images
2020-12-22 18:32:41.975 +00:00 [INF] Bucket found: vikings
2020-12-22 18:32:42.348 +00:00 [INF] Bucket found: ww2
2020-12-22 18:32:45.538 +00:00 [INF] Bucket found: noproblem
2020-12-22 18:32:46.310 +00:00 [INF] Bucket found: transcripts
2020-12-22 18:32:49.286 +00:00 [INF] Bucket found: catering
2020-12-22 18:32:53.095 +00:00 [INF] Bucket found: watch
2020-12-22 18:32:55.160 +00:00 [INF] Bucket found: currency
2020-12-22 18:32:56.249 +00:00 [INF] Bucket found: honey
2020-12-22 18:32:59.668 +00:00 [INF] Bucket found: apod
2020-12-22 18:33:00.655 +00:00 [INF] Bucket found: learn
2020-12-22 18:33:01.699 +00:00 [INF] Bucket found: asthma
2020-12-22 18:33:03.352 +00:00 [INF] Bucket found: purpose
2020-12-22 18:33:04.827 +00:00 [INF] Bucket found: foi
2020-12-22 18:33:06.707 +00:00 [INF] Bucket found: horizon
2020-12-22 18:33:08.829 +00:00 [INF] Bucket found: phil
2020-12-22 18:33:09.745 +00:00 [INF] Bucket found: obituaries
2020-12-22 18:33:14.696 +00:00 [INF] Bucket found: wgbh
2020-12-22 18:33:21.963 +00:00 [INF] Bucket found: readingroom
2020-12-22 18:33:25.211 +00:00 [INF] Bucket found: light
2020-12-22 18:33:27.298 +00:00 [INF] Bucket found: eco
2020-12-22 18:33:27.780 +00:00 [INF] Bucket found: womens
